date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,team
2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Home,L,1.0,3.0,Stuttgart,0.9,1.6,40.0,30500.0,Robin Zentner,3-4-3,Harm Osmers,Match Report,,15.0,3.0,17.1,0.0,0.0,0.0,Mainz 05
2022-07-30,20:30,DFL-Supercup,DFL-Supercup,Sat,Away,W,5,3,RB Leipzig,,,58.0,47069.0,Manuel Neuer,4-2-3-1,Robert Schröder,Match Report,,12.0,8.0,,,0.0,0.0,Bayern Munich
2022-08-05,20:30,Bundesliga,Matchweek 1,Fri,Away,W,6,1,Eint Frankfurt,4.0,0.9,63.0,51500.0,Manuel Neuer,4-4-2,Deniz Aytekin,Match Report,,23.0,10.0,16.6,1.0,0.0,0.0,Bayern Munich
2022-08-14,17:30,Bundesliga,Matchweek 2,Sun,Home,W,2,0,Wolfsburg,2.0,0.5,68.0,75000.0,Manuel Neuer,4-2-3-1,Harm Osmers,Match Report,,24.0,8.0,18.4,0.0,0.0,0.0,Bayern Munich
2022-08-21,17:30,Bundesliga,Matchweek 3,Sun,Away,W,7,0,Bochum,2.9,0.7,64.0,26000.0,Manuel Neuer,4-4-2,Daniel Siebert,Match Report,,21.0,11.0,18.3,1.0,1.0,1.0,Bayern Munich
2022-08-27,18:30,Bundesliga,Matchweek 4,Sat,Home,D,1,1,M'Gladbach,2.8,0.5,69.0,75000.0,Manuel Neuer,4-2-2-2,Daniel Schlager,Match Report,,33.0,20.0,17.4,1.0,0.0,0.0,Bayern Munich
2022-08-31,20:46,DFB-Pokal,Round of 64,Wed,Away,W,5,0,Viktoria Köln,,,77.0,50000.0,Thomas Müller,4-2-3-1,Matthias Jöllenbeck,Match Report,,28.0,18.0,,,0.0,0.0,Bayern Munich
2022-09-03,15:30,Bundesliga,Matchweek 5,Sat,Away,D,1,1,Union Berlin,1.5,0.3,74.0,22012.0,Manuel Neuer,4-2-3-1,Frank Willenborg,Match Report,,21.0,6.0,18.1,0.0,0.0,0.0,Bayern Munich
2022-09-07,21:00,Champions Lg,Group stage,Wed,Away,W,2,0,it Inter,2.5,0.7,56.0,58951.0,Manuel Neuer,4-2-3-1,Clément Turpin,Match Report,,21.0,11.0,18.7,1.0,0.0,0.0,Bayern Munich
2022-09-10,15:30,Bundesliga,Matchweek 6,Sat,Home,D,2,2,Stuttgart,2.2,1.2,66.0,75000.0,Manuel Neuer,4-2-3-1,Christian Dingert,Match Report,,19.0,6.0,17.5,1.0,0.0,0.0,Bayern Munich
2022-09-13,21:00,Champions Lg,Group stage,Tue,Home,W,2,0,es Barcelona,1.7,2.0,47.0,75000.0,Manuel Neuer,4-2-3-1,Danny Makkelie,Match Report,,13.0,4.0,17.7,0.0,0.0,0.0,Bayern Munich
2022-09-17,15:30,Bundesliga,Matchweek 7,Sat,Away,L,0,1,Augsburg,1.6,1.7,76.0,30660.0,Manuel Neuer,4-2-3-1,Marco Fritz,Match Report,,19.0,6.0,18.8,0.0,0.0,0.0,Bayern Munich
2022-09-30,20:30,Bundesliga,Matchweek 8,Fri,Home,W,4,0,Leverkusen,1.9,0.8,62.0,75000.0,Manuel Neuer,4-2-3-1,Tobias Stieler,Match Report,,20.0,9.0,16.6,2.0,0.0,0.0,Bayern Munich
2022-10-04,18:45,Champions Lg,Group stage,Tue,Home,W,5,0,cz Viktoria Plzeň,2.4,0.5,70.0,75000.0,Manuel Neuer,4-2-3-1,Nikola Dabanović,Match Report,,21.0,13.0,19.7,3.0,0.0,0.0,Bayern Munich
2022-10-08,18:30,Bundesliga,Matchweek 9,Sat,Away,D,2,2,Dortmund,0.6,1.6,56.0,81365.0,Manuel Neuer,4-2-3-1,Deniz Aytekin,Match Report,,9.0,3.0,20.5,0.0,0.0,0.0,Bayern Munich
