date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,sota,saves,cs,pka,pksv,totdist,live,dead,att,touches,succ,team
2023-09-03,17:30,Bundesliga,Matchweek 3,Sun,Home,L,0.0,3.0,RB Leipzig,0.3,1.2,36.0,,Danilho Doekhi,3-4-3,Daniel Schlager,Match Report,,3.0,1.0,21.7,1.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,4668.0,328.0,50.0,379.0,484.0,7.0,Union Berlin
2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Away,L,1.0,2.0,Wolfsburg,1.1,0.4,56.0,21917.0,Christopher Trimmel,3-5-2,Felix Brych,Match Report,,19.0,6.0,14.8,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,9813.0,539.0,48.0,588.0,706.0,4.0,Union Berlin
2023-09-20,18:45,Champions Lg,Group stage,Wed,Away,L,0.0,1.0,es Real Madrid,0.2,3.7,25.0,65207.0,Sheraldo Becker,3-5-2,Espen Andreas Eskås,Match Report,,4.0,0.0,12.9,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,3620.0,249.0,39.0,289.0,408.0,2.0,Union Berlin
2023-08-13,15:30,DFB-Pokal,Round of 64,Sun,Away,W,7.0,0.0,Loko Leipzig,,,67.0,,Makoto Hasebe,3-4-3,Michael Bacher,Match Report,,16.0,11.0,,,0.0,0.0,2.0,2.0,1.0,0.0,0.0,,,,,,,Eintracht Frankfurt
2023-08-20,17:30,Bundesliga,Matchweek 1,Sun,Home,W,1.0,0.0,Darmstadt 98,1.5,0.5,61.0,54000.0,Sebastian Rode,3-4-3,Harm Osmers,Match Report,,9.0,3.0,14.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,9822.0,562.0,59.0,621.0,715.0,7.0,Eintracht Frankfurt
2023-08-24,20:00,Conf Lg,Play-off round,Thu,Away,D,1.0,1.0,bg Levski Sofia,,,,35000.0,Kevin Trapp,3-4-3,Adam Ladebäck,Match Report,Leg 1 of 2,,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,Eintracht Frankfurt
2023-08-27,15:30,Bundesliga,Matchweek 2,Sun,Away,D,1.0,1.0,Mainz 05,1.1,1.2,60.0,33305.0,Kevin Trapp,3-4-3,Bastian Dankert,Match Report,,7.0,1.0,15.1,1.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,7222.0,479.0,64.0,543.0,660.0,10.0,Eintracht Frankfurt
2023-08-31,20:30,Conf Lg,Play-off round,Thu,Home,W,2.0,0.0,bg Levski Sofia,,,,46000.0,Kevin Trapp,3-4-3,Allard Lindhout,Match Report,Leg 2 of 2; Eint Frankfurt won,,,,,0.0,0.0,,,1.0,0.0,0.0,,,,,,,Eintracht Frankfurt
2023-09-03,15:30,Bundesliga,Matchweek 3,Sun,Home,D,1.0,1.0,Köln,1.1,0.9,65.0,54000.0,Kevin Trapp,3-4-3,Florian Badstübner,Match Report,,13.0,2.0,14.3,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,11804.0,713.0,55.0,770.0,883.0,13.0,Eintracht Frankfurt
2023-09-16,18:30,Bundesliga,Matchweek 4,Sat,Away,D,1.0,1.0,Bochum,0.6,2.0,51.0,,Kevin Trapp,3-4-3,Benjamin Brand,Match Report,,8.0,6.0,21.8,0.0,0.0,0.0,7.0,6.0,0.0,1.0,0.0,6271.0,444.0,55.0,500.0,648.0,10.0,Eintracht Frankfurt
2023-09-21,18:45,Conf Lg,Group stage,Thu,Home,W,2.0,1.0,sct Aberdeen,1.0,0.8,77.0,,Sebastian Rode,3-4-3,Chrysovalantis Theouli,Match Report,,9.0,4.0,23.9,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10337.0,680.0,42.0,725.0,818.0,8.0,Eintracht Frankfurt
